id;name;product_code;price;final_price;discount;release_type;release_status;description;material_desc;slug;is_valid;created_by;created_date;modified_by;modified_date
1;mobile Fish;Home Loan Account Table Computer;5808362;45924889;87;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;false;Investment Account Steel;29214;24/7 Common bluetooth;19967
2;Cambridgeshire Mississippi;HDD;68030754;17052413;45;Automotive;Planner cross-platform access;Public-key;infomediaries;Investment Account;true;Salad;39106;Tuna;75536
3;convergence;Mayotte;18485447;3131330;97;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;true;Plastic;80219;Small;98688
4;index orange;Jewelery;19884241;70685735;71;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;false;Developer;84891;hard drive Robust Networked;4043
5;system Small;Intelligent Outdoors;63641041;47537023;31;Buckinghamshire Corporate;Investment Account;override User-centric;Money Market Account;Salad Web virtual;true;RSS;80367;maroon;89255
6;Ghana back-end National;Direct;27213225;22793517;65;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;true;facilitate Tasty Concrete Chips Exclusive;69630;card Plastic;99774
7;mission-critical;Berkshire Small Plastic Pants Investor;23956189;68070546;14;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;true;Licensed hacking installation;18651;Refined Rubber Gloves Algerian Dinar Clothing;51209
8;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;67569012;34106636;74;azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;true;THX pink even-keeled;70035;programming SCSI drive;88777
9;bypassing Marketing;Dynamic Home Loan Account Tools;10147155;94013345;67;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;payment calculating;true;Nevada;9367;turn-key dedicated;24398
10;Strategist target;Investor users dot-com;64510336;57690389;67;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human;back up Factors;false;Venezuela Wisconsin;98033;Incredible functionalities fuchsia;26847
